graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
ash85,85,304,39,3515
ash85,85,304,37,3662
ash85,85,304,37,3571
ash85,85,304,36,4311
ash85,85,304,37,1326
ash85,85,304,39,1359
ash85,85,304,37,1118
ash85,85,304,39,1187
ash85,85,304,38,1445
ash85,85,304,39,1140
ash85,85,304,41,1210
ash85,85,304,37,1666
ash85,85,304,38,1263
ash85,85,304,37,1505
ash85,85,304,39,1219
ash85,85,304,37,1460
ash85,85,304,40,1207
ash85,85,304,38,1531
ash85,85,304,39,1166
ash85,85,304,39,1177
ash85,85,304,39,1207
ash85,85,304,39,1251
ash85,85,304,38,1595
ash85,85,304,38,1810
ash85,85,304,38,1475
ash85,85,304,35,2324
ash85,85,304,39,1127
ash85,85,304,40,1345
ash85,85,304,39,1205
ash85,85,304,39,1204
