graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
bcspwr02,49,108,35,546
bcspwr02,49,108,36,566
bcspwr02,49,108,34,572
bcspwr02,49,108,34,628
bcspwr02,49,108,38,550
bcspwr02,49,108,34,884
bcspwr02,49,108,35,581
bcspwr02,49,108,34,672
bcspwr02,49,108,34,808
bcspwr02,49,108,35,685
bcspwr02,49,108,38,543
bcspwr02,49,108,36,594
bcspwr02,49,108,38,651
bcspwr02,49,108,38,532
bcspwr02,49,108,36,560
bcspwr02,49,108,37,568
bcspwr02,49,108,34,532
bcspwr02,49,108,39,507
bcspwr02,49,108,34,788
bcspwr02,49,108,39,454
bcspwr02,49,108,38,431
bcspwr02,49,108,36,630
bcspwr02,49,108,37,487
bcspwr02,49,108,34,790
bcspwr02,49,108,37,531
bcspwr02,49,108,35,443
bcspwr02,49,108,35,595
bcspwr02,49,108,37,646
bcspwr02,49,108,39,430
bcspwr02,49,108,34,607
