graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
bcsstk20,485,1325,207,164780
bcsstk20,485,1325,199,150694
bcsstk20,485,1325,198,159277
bcsstk20,485,1325,199,168715
bcsstk20,485,1325,200,147861
bcsstk20,485,1325,202,180262
bcsstk20,485,1325,195,157837
bcsstk20,485,1325,199,161741
bcsstk20,485,1325,200,154371
bcsstk20,485,1325,203,144194
bcsstk20,485,1325,199,159696
bcsstk20,485,1325,201,143695
bcsstk20,485,1325,199,143787
bcsstk20,485,1325,197,148584
bcsstk20,485,1325,199,158469
bcsstk20,485,1325,205,148779
bcsstk20,485,1325,199,182583
bcsstk20,485,1325,197,151563
bcsstk20,485,1325,198,151871
bcsstk20,485,1325,191,141968
bcsstk20,485,1325,198,160553
bcsstk20,485,1325,201,152579
bcsstk20,485,1325,205,151403
bcsstk20,485,1325,194,141043
bcsstk20,485,1325,203,177865
bcsstk20,485,1325,200,155173
bcsstk20,485,1325,196,141694
bcsstk20,485,1325,205,155998
bcsstk20,485,1325,202,146633
bcsstk20,485,1325,199,177505
