graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
bfw62a,62,200,22,2859
bfw62a,62,200,22,2588
bfw62a,62,200,22,2654
bfw62a,62,200,22,2598
bfw62a,62,200,22,2665
bfw62a,62,200,22,2617
bfw62a,62,200,22,2591
bfw62a,62,200,22,2647
bfw62a,62,200,22,2847
bfw62a,62,200,22,2627
bfw62a,62,200,22,2610
bfw62a,62,200,22,2616
bfw62a,62,200,22,2698
bfw62a,62,200,22,2787
bfw62a,62,200,22,2626
bfw62a,62,200,22,2624
bfw62a,62,200,22,2703
bfw62a,62,200,22,2887
bfw62a,62,200,22,2930
bfw62a,62,200,22,2578
bfw62a,62,200,22,2618
bfw62a,62,200,22,2630
bfw62a,62,200,22,2619
bfw62a,62,200,22,2822
bfw62a,62,200,22,2686
bfw62a,62,200,22,2630
bfw62a,62,200,22,2639
bfw62a,62,200,22,2567
bfw62a,62,200,22,2711
bfw62a,62,200,22,2653
