graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
bp_600,822,4159,443,336285
bp_600,822,4159,410,328133
bp_600,822,4159,425,290906
bp_600,822,4159,431,303909
bp_600,822,4159,424,287401
bp_600,822,4159,461,162588
bp_600,822,4159,430,261385
bp_600,822,4159,424,239658
bp_600,822,4159,438,297570
bp_600,822,4159,457,163592
bp_600,822,4159,416,270020
bp_600,822,4159,437,252651
bp_600,822,4159,428,265698
bp_600,822,4159,465,163164
bp_600,822,4159,465,164016
bp_600,822,4159,462,204886
bp_600,822,4159,465,162376
bp_600,822,4159,445,226066
bp_600,822,4159,445,164795
bp_600,822,4159,465,163972
bp_600,822,4159,447,198430
bp_600,822,4159,448,248191
bp_600,822,4159,465,163376
bp_600,822,4159,420,267790
bp_600,822,4159,431,263517
bp_600,822,4159,465,164185
bp_600,822,4159,452,226666
bp_600,822,4159,445,201323
bp_600,822,4159,430,184620
bp_600,822,4159,447,160806
