graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
can_838,838,5424,225,192424
can_838,838,5424,227,160846
can_838,838,5424,227,154414
can_838,838,5424,227,160799
can_838,838,5424,227,160512
can_838,838,5424,227,161243
can_838,838,5424,227,157003
can_838,838,5424,227,159712
can_838,838,5424,227,160567
can_838,838,5424,227,161331
can_838,838,5424,227,158262
can_838,838,5424,227,155070
can_838,838,5424,227,161248
can_838,838,5424,227,157232
can_838,838,5424,223,222306
can_838,838,5424,227,160389
can_838,838,5424,227,159744
can_838,838,5424,227,166000
can_838,838,5424,227,161813
can_838,838,5424,227,168279
can_838,838,5424,227,171804
can_838,838,5424,227,159114
can_838,838,5424,225,210772
can_838,838,5424,225,204841
can_838,838,5424,227,160696
can_838,838,5424,227,159874
can_838,838,5424,227,160050
can_838,838,5424,227,160314
can_838,838,5424,226,196881
can_838,838,5424,227,160403
