graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
curtis54,54,124,20,2305
curtis54,54,124,20,2213
curtis54,54,124,20,2170
curtis54,54,124,20,2158
curtis54,54,124,20,2219
curtis54,54,124,20,2183
curtis54,54,124,20,2263
curtis54,54,124,20,2149
curtis54,54,124,20,2192
curtis54,54,124,20,2169
curtis54,54,124,20,2159
curtis54,54,124,20,2145
curtis54,54,124,20,2148
curtis54,54,124,20,2148
curtis54,54,124,20,2461
curtis54,54,124,20,2330
curtis54,54,124,20,2361
curtis54,54,124,20,2400
curtis54,54,124,20,2606
curtis54,54,124,20,2208
curtis54,54,124,20,2155
curtis54,54,124,20,2198
curtis54,54,124,20,2217
curtis54,54,124,20,2141
curtis54,54,124,20,2154
curtis54,54,124,20,2232
curtis54,54,124,20,2186
curtis54,54,124,20,2179
curtis54,54,124,20,2139
curtis54,54,124,20,2149
