graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
dwt_234,234,534,151,10260
dwt_234,234,534,135,16464
dwt_234,234,534,151,9191
dwt_234,234,534,144,12802
dwt_234,234,534,141,16315
dwt_234,234,534,139,16538
dwt_234,234,534,151,9389
dwt_234,234,534,151,9199
dwt_234,234,534,151,9440
dwt_234,234,534,151,9140
dwt_234,234,534,144,13149
dwt_234,234,534,135,16501
dwt_234,234,534,151,9094
dwt_234,234,534,138,17299
dwt_234,234,534,151,9044
dwt_234,234,534,151,9078
dwt_234,234,534,136,20448
dwt_234,234,534,141,16962
dwt_234,234,534,141,15515
dwt_234,234,534,137,14093
dwt_234,234,534,151,9155
dwt_234,234,534,139,15087
dwt_234,234,534,150,9582
dwt_234,234,534,151,9288
dwt_234,234,534,137,18212
dwt_234,234,534,151,8981
dwt_234,234,534,135,15776
dwt_234,234,534,151,9223
dwt_234,234,534,138,14977
dwt_234,234,534,141,12854
