graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
fs_680_1,680,1464,343,269883
fs_680_1,680,1464,345,263666
fs_680_1,680,1464,345,274857
fs_680_1,680,1464,347,263311
fs_680_1,680,1464,340,260652
fs_680_1,680,1464,349,258968
fs_680_1,680,1464,347,259646
fs_680_1,680,1464,344,260443
fs_680_1,680,1464,344,260747
fs_680_1,680,1464,344,261054
fs_680_1,680,1464,340,263027
fs_680_1,680,1464,347,262420
fs_680_1,680,1464,340,268959
fs_680_1,680,1464,344,260775
fs_680_1,680,1464,343,262519
fs_680_1,680,1464,343,259160
fs_680_1,680,1464,343,267724
fs_680_1,680,1464,342,259094
fs_680_1,680,1464,342,265000
fs_680_1,680,1464,341,257645
fs_680_1,680,1464,337,254439
fs_680_1,680,1464,345,268548
fs_680_1,680,1464,345,264428
fs_680_1,680,1464,344,266529
fs_680_1,680,1464,338,263074
fs_680_1,680,1464,340,260550
fs_680_1,680,1464,342,260629
fs_680_1,680,1464,343,262557
fs_680_1,680,1464,348,263946
fs_680_1,680,1464,348,262816
