graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
gre_185,185,650,65,35308
gre_185,185,650,67,22849
gre_185,185,650,66,22349
gre_185,185,650,71,21779
gre_185,185,650,67,22008
gre_185,185,650,69,21806
gre_185,185,650,68,21556
gre_185,185,650,66,22797
gre_185,185,650,68,24828
gre_185,185,650,66,24500
gre_185,185,650,68,25423
gre_185,185,650,68,25153
gre_185,185,650,68,25094
gre_185,185,650,66,24644
gre_185,185,650,68,24491
gre_185,185,650,67,25184
gre_185,185,650,68,25018
gre_185,185,650,66,24373
gre_185,185,650,66,24702
gre_185,185,650,69,24708
gre_185,185,650,69,25237
gre_185,185,650,68,25211
gre_185,185,650,69,25567
gre_185,185,650,68,25488
gre_185,185,650,68,25076
gre_185,185,650,69,25044
gre_185,185,650,67,24334
gre_185,185,650,71,25470
gre_185,185,650,69,24713
gre_185,185,650,66,24923
