graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
gre_216a,216,660,93,31379
gre_216a,216,660,92,31078
gre_216a,216,660,89,30133
gre_216a,216,660,92,30596
gre_216a,216,660,92,30719
gre_216a,216,660,89,30212
gre_216a,216,660,93,29487
gre_216a,216,660,92,30511
gre_216a,216,660,89,30323
gre_216a,216,660,98,30447
gre_216a,216,660,95,29451
gre_216a,216,660,86,30013
gre_216a,216,660,93,30290
gre_216a,216,660,92,29390
gre_216a,216,660,93,29748
gre_216a,216,660,90,30438
gre_216a,216,660,93,30085
gre_216a,216,660,89,29935
gre_216a,216,660,88,30687
gre_216a,216,660,89,29120
gre_216a,216,660,92,29950
gre_216a,216,660,90,29248
gre_216a,216,660,88,30268
gre_216a,216,660,89,30270
gre_216a,216,660,87,30070
gre_216a,216,660,93,29585
gre_216a,216,660,93,29822
gre_216a,216,660,94,30033
gre_216a,216,660,91,30810
gre_216a,216,660,96,30113
