graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
hor_131,434,2572,148,44091
hor_131,434,2572,151,54565
hor_131,434,2572,149,45545
hor_131,434,2572,151,45533
hor_131,434,2572,149,50014
hor_131,434,2572,148,65448
hor_131,434,2572,147,62717
hor_131,434,2572,149,53090
hor_131,434,2572,150,74145
hor_131,434,2572,147,51277
hor_131,434,2572,143,43944
hor_131,434,2572,150,61948
hor_131,434,2572,149,60624
hor_131,434,2572,150,73577
hor_131,434,2572,150,58510
hor_131,434,2572,147,46030
hor_131,434,2572,145,44525
hor_131,434,2572,150,55196
hor_131,434,2572,149,43397
hor_131,434,2572,145,58203
hor_131,434,2572,149,48864
hor_131,434,2572,144,62432
hor_131,434,2572,151,44593
hor_131,434,2572,149,43485
hor_131,434,2572,149,43536
hor_131,434,2572,151,44846
hor_131,434,2572,151,41616
hor_131,434,2572,143,38868
hor_131,434,2572,151,42414
hor_131,434,2572,149,39224
