graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
impcol_c,137,352,50,21138
impcol_c,137,352,49,11507
impcol_c,137,352,46,11622
impcol_c,137,352,49,12269
impcol_c,137,352,45,11422
impcol_c,137,352,49,12563
impcol_c,137,352,46,11698
impcol_c,137,352,46,11747
impcol_c,137,352,45,11811
impcol_c,137,352,50,12293
impcol_c,137,352,49,11911
impcol_c,137,352,46,11962
impcol_c,137,352,50,12707
impcol_c,137,352,50,17303
impcol_c,137,352,49,18731
impcol_c,137,352,45,15395
impcol_c,137,352,49,13726
impcol_c,137,352,50,11114
impcol_c,137,352,50,11939
impcol_c,137,352,49,12006
impcol_c,137,352,45,11483
impcol_c,137,352,50,11445
impcol_c,137,352,46,11059
impcol_c,137,352,45,11062
impcol_c,137,352,49,11873
impcol_c,137,352,49,11110
impcol_c,137,352,49,11465
impcol_c,137,352,49,11417
impcol_c,137,352,45,11210
impcol_c,137,352,49,11013
