graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
jagmesh1,936,3600,404,563215
jagmesh1,936,3600,405,384846
jagmesh1,936,3600,406,394690
jagmesh1,936,3600,427,212126
jagmesh1,936,3600,414,412595
jagmesh1,936,3600,414,316332
jagmesh1,936,3600,404,538751
jagmesh1,936,3600,416,329836
jagmesh1,936,3600,412,390175
jagmesh1,936,3600,407,386507
jagmesh1,936,3600,419,203079
jagmesh1,936,3600,410,362917
jagmesh1,936,3600,417,367045
jagmesh1,936,3600,415,458486
jagmesh1,936,3600,422,245714
jagmesh1,936,3600,416,383051
jagmesh1,936,3600,417,283467
jagmesh1,936,3600,423,204610
jagmesh1,936,3600,411,455892
jagmesh1,936,3600,407,475400
jagmesh1,936,3600,413,375944
jagmesh1,936,3600,423,200828
jagmesh1,936,3600,410,396082
jagmesh1,936,3600,421,199823
jagmesh1,936,3600,419,303899
jagmesh1,936,3600,413,435356
jagmesh1,936,3600,420,302720
jagmesh1,936,3600,409,444011
jagmesh1,936,3600,417,375694
jagmesh1,936,3600,401,423502
