graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
jpwh_991,991,2678,393,667673
jpwh_991,991,2678,388,679625
jpwh_991,991,2678,387,679313
jpwh_991,991,2678,386,670989
jpwh_991,991,2678,396,648156
jpwh_991,991,2678,391,650463
jpwh_991,991,2678,385,660454
jpwh_991,991,2678,389,667711
jpwh_991,991,2678,386,667445
jpwh_991,991,2678,397,659773
jpwh_991,991,2678,386,658873
jpwh_991,991,2678,391,635018
jpwh_991,991,2678,394,682503
jpwh_991,991,2678,396,714778
jpwh_991,991,2678,392,673565
jpwh_991,991,2678,386,658082
jpwh_991,991,2678,393,686935
jpwh_991,991,2678,386,663960
jpwh_991,991,2678,391,660650
jpwh_991,991,2678,391,657176
jpwh_991,991,2678,389,645635
jpwh_991,991,2678,391,678663
jpwh_991,991,2678,391,665939
jpwh_991,991,2678,386,673881
jpwh_991,991,2678,390,628335
jpwh_991,991,2678,393,656105
jpwh_991,991,2678,385,650893
jpwh_991,991,2678,395,652273
jpwh_991,991,2678,387,645764
jpwh_991,991,2678,392,666366
