graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
mbeause,492,36609,3,146442
mbeause,492,36609,3,129389
mbeause,492,36609,3,102841
mbeause,492,36609,3,137890
mbeause,492,36609,3,135152
mbeause,492,36609,3,141568
mbeause,492,36609,3,131071
mbeause,492,36609,3,143526
mbeause,492,36609,3,148288
mbeause,492,36609,3,158039
mbeause,492,36609,3,156251
mbeause,492,36609,3,157407
mbeause,492,36609,3,131975
mbeause,492,36609,3,114543
mbeause,492,36609,3,139359
mbeause,492,36609,3,129607
mbeause,492,36609,3,134232
mbeause,492,36609,3,146484
mbeause,492,36609,3,134333
mbeause,492,36609,3,119129
mbeause,492,36609,3,140690
mbeause,492,36609,3,134505
mbeause,492,36609,3,147150
mbeause,492,36609,3,135381
mbeause,492,36609,3,126065
mbeause,492,36609,3,151648
mbeause,492,36609,3,123469
mbeause,492,36609,3,138220
mbeause,492,36609,3,125916
mbeause,492,36609,3,146546
