graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
mcca,180,1860,78,15352
mcca,180,1860,83,11700
mcca,180,1860,83,12145
mcca,180,1860,83,10387
mcca,180,1860,78,16601
mcca,180,1860,77,15973
mcca,180,1860,81,16317
mcca,180,1860,82,9923
mcca,180,1860,82,11302
mcca,180,1860,80,13543
mcca,180,1860,82,11951
mcca,180,1860,81,11698
mcca,180,1860,78,14453
mcca,180,1860,80,12613
mcca,180,1860,82,11886
mcca,180,1860,83,9930
mcca,180,1860,84,7799
mcca,180,1860,81,13877
mcca,180,1860,81,13200
mcca,180,1860,84,8056
mcca,180,1860,74,19939
mcca,180,1860,79,13842
mcca,180,1860,80,12016
mcca,180,1860,81,12389
mcca,180,1860,80,13379
mcca,180,1860,83,14458
mcca,180,1860,84,12461
mcca,180,1860,82,12655
mcca,180,1860,83,15648
mcca,180,1860,84,10692
