graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
mcfe,765,16123,90,148947
mcfe,765,16123,90,139760
mcfe,765,16123,90,138974
mcfe,765,16123,90,138346
mcfe,765,16123,90,139156
mcfe,765,16123,90,138649
mcfe,765,16123,90,137725
mcfe,765,16123,90,138824
mcfe,765,16123,90,137201
mcfe,765,16123,90,139385
mcfe,765,16123,90,138465
mcfe,765,16123,90,139522
mcfe,765,16123,90,139621
mcfe,765,16123,90,138636
mcfe,765,16123,90,138627
mcfe,765,16123,90,139279
mcfe,765,16123,90,139583
mcfe,765,16123,90,139542
mcfe,765,16123,90,138917
mcfe,765,16123,90,139407
mcfe,765,16123,90,139446
mcfe,765,16123,90,138429
mcfe,765,16123,90,138247
mcfe,765,16123,90,138456
mcfe,765,16123,90,139875
mcfe,765,16123,90,139373
mcfe,765,16123,90,138759
mcfe,765,16123,90,141446
mcfe,765,16123,90,142138
mcfe,765,16123,90,145830
