graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
orsirr_2,886,2542,361,561368
orsirr_2,886,2542,364,541966
orsirr_2,886,2542,365,508984
orsirr_2,886,2542,363,518914
orsirr_2,886,2542,356,544251
orsirr_2,886,2542,354,518751
orsirr_2,886,2542,360,545627
orsirr_2,886,2542,362,544918
orsirr_2,886,2542,363,572626
orsirr_2,886,2542,354,525977
orsirr_2,886,2542,362,577824
orsirr_2,886,2542,356,565146
orsirr_2,886,2542,358,512583
orsirr_2,886,2542,358,581946
orsirr_2,886,2542,353,550396
orsirr_2,886,2542,355,566593
orsirr_2,886,2542,363,526896
orsirr_2,886,2542,354,536092
orsirr_2,886,2542,359,538305
orsirr_2,886,2542,353,551101
orsirr_2,886,2542,363,545589
orsirr_2,886,2542,361,544345
orsirr_2,886,2542,349,569661
orsirr_2,886,2542,352,548574
orsirr_2,886,2542,359,549625
orsirr_2,886,2542,360,544464
orsirr_2,886,2542,356,525956
orsirr_2,886,2542,356,544145
orsirr_2,886,2542,350,554541
orsirr_2,886,2542,353,544310
