graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
pores_1,30,103,10,2199
pores_1,30,103,8,2320
pores_1,30,103,10,2148
pores_1,30,103,10,2221
pores_1,30,103,10,2251
pores_1,30,103,10,1941
pores_1,30,103,10,1317
pores_1,30,103,10,890
pores_1,30,103,10,788
pores_1,30,103,10,829
pores_1,30,103,10,798
pores_1,30,103,10,804
pores_1,30,103,10,824
pores_1,30,103,10,820
pores_1,30,103,10,816
pores_1,30,103,10,808
pores_1,30,103,10,797
pores_1,30,103,10,818
pores_1,30,103,10,808
pores_1,30,103,10,846
pores_1,30,103,10,829
pores_1,30,103,10,817
pores_1,30,103,10,801
pores_1,30,103,10,834
pores_1,30,103,10,815
pores_1,30,103,10,855
pores_1,30,103,10,840
pores_1,30,103,8,850
pores_1,30,103,8,810
pores_1,30,103,8,836
