graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
sherman1,1000,2375,1062,492114
sherman1,1000,2375,1050,711801
sherman1,1000,2375,1060,463124
sherman1,1000,2375,1069,498123
sherman1,1000,2375,1057,584819
sherman1,1000,2375,1062,614802
sherman1,1000,2375,1068,509511
sherman1,1000,2375,1063,497057
sherman1,1000,2375,1055,676770
sherman1,1000,2375,1069,467875
sherman1,1000,2375,1062,513357
sherman1,1000,2375,1061,529012
sherman1,1000,2375,1058,565304
sherman1,1000,2375,1057,588504
sherman1,1000,2375,1060,605074
sherman1,1000,2375,1042,659215
sherman1,1000,2375,1056,570565
sherman1,1000,2375,1062,517171
sherman1,1000,2375,1051,588741
sherman1,1000,2375,1061,492299
sherman1,1000,2375,1069,544416
sherman1,1000,2375,1058,591138
sherman1,1000,2375,1054,618983
sherman1,1000,2375,1056,586820
sherman1,1000,2375,1067,566454
sherman1,1000,2375,1065,534607
sherman1,1000,2375,1066,461103
sherman1,1000,2375,1051,670006
sherman1,1000,2375,1046,619885
sherman1,1000,2375,1053,581272
