graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
shl_200,663,1726,299,93727
shl_200,663,1726,270,144412
shl_200,663,1726,299,93381
shl_200,663,1726,277,127512
shl_200,663,1726,299,94491
shl_200,663,1726,299,93099
shl_200,663,1726,263,130008
shl_200,663,1726,272,107327
shl_200,663,1726,293,87708
shl_200,663,1726,273,129297
shl_200,663,1726,267,145436
shl_200,663,1726,272,128607
shl_200,663,1726,299,94991
shl_200,663,1726,293,87033
shl_200,663,1726,299,90893
shl_200,663,1726,260,150401
shl_200,663,1726,291,108946
shl_200,663,1726,293,105102
shl_200,663,1726,299,100102
shl_200,663,1726,255,172110
shl_200,663,1726,299,95920
shl_200,663,1726,286,120732
shl_200,663,1726,299,96379
shl_200,663,1726,299,97689
shl_200,663,1726,276,119516
shl_200,663,1726,299,97172
shl_200,663,1726,299,94436
shl_200,663,1726,266,120201
shl_200,663,1726,299,96272
shl_200,663,1726,260,159133
