graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
steam2,600,7180,86,71642
steam2,600,7180,86,71191
steam2,600,7180,82,70285
steam2,600,7180,84,71673
steam2,600,7180,86,71329
steam2,600,7180,86,71383
steam2,600,7180,84,71387
steam2,600,7180,88,71223
steam2,600,7180,86,72542
steam2,600,7180,86,70290
steam2,600,7180,86,70919
steam2,600,7180,86,70685
steam2,600,7180,82,71510
steam2,600,7180,88,70250
steam2,600,7180,84,70983
steam2,600,7180,84,70379
steam2,600,7180,86,70010
steam2,600,7180,86,70786
steam2,600,7180,88,70448
steam2,600,7180,86,70349
steam2,600,7180,84,70684
steam2,600,7180,86,70702
steam2,600,7180,82,71053
steam2,600,7180,82,69737
steam2,600,7180,86,70275
steam2,600,7180,86,70324
steam2,600,7180,86,70156
steam2,600,7180,86,70528
steam2,600,7180,84,70018
steam2,600,7180,86,70549
