graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
west0655,655,2841,223,289197
west0655,655,2841,221,311908
west0655,655,2841,226,301367
west0655,655,2841,229,286732
west0655,655,2841,220,301141
west0655,655,2841,230,313838
west0655,655,2841,231,309873
west0655,655,2841,224,307364
west0655,655,2841,227,303477
west0655,655,2841,236,287374
west0655,655,2841,232,303438
west0655,655,2841,227,299971
west0655,655,2841,225,313438
west0655,655,2841,221,296077
west0655,655,2841,228,312685
west0655,655,2841,226,295663
west0655,655,2841,225,294544
west0655,655,2841,227,286893
west0655,655,2841,228,307990
west0655,655,2841,229,313908
west0655,655,2841,221,279215
west0655,655,2841,224,309991
west0655,655,2841,226,309992
west0655,655,2841,226,272648
west0655,655,2841,228,284142
west0655,655,2841,224,301298
west0655,655,2841,230,300954
west0655,655,2841,223,308302
west0655,655,2841,227,292880
west0655,655,2841,225,299060
